Seitentitel,URL,Anzahl fehlender Bilder,abgeleitetes Hauptthema,abgeleiteter Seitentyp,empfohlene Bildmotive,Bildposition,empfohlene Bildrolle,Vorschlag 1,Score 1,Begründung 1,Vorschlag 2,Score 2,Begründung 2,Vorschlag 3,Score 3,Begründung 3,Status,Review-Hinweis
Unternehmen,https://igienair.de/unternehmen/,3,Unternehmen,Unternehmen,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 18_47_49.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1535px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Unternehmen,https://igienair.de/unternehmen/,3,Unternehmen,Unternehmen,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1037608377.jpeg,54,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,54,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Unternehmen,https://igienair.de/unternehmen/,3,Unternehmen,Unternehmen,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1069337199.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Qualität,https://igienair.de/unternehmen/qualitaet/,3,Qualität,Unternehmen,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 18_47_49.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1535px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Qualität,https://igienair.de/unternehmen/qualitaet/,3,Qualität,Unternehmen,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1037608377.jpeg,54,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,54,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Qualität,https://igienair.de/unternehmen/qualitaet/,3,Qualität,Unternehmen,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1069337199.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Sicherheit,https://igienair.de/unternehmen/sicherheit/,1,Sicherheit,Unternehmen,Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,1,Hero,"assets/images/Leistungen/Hygieneinspektionvdi6022/ChatGPT Image 3. Mai 2026, 23_45_32.png",48,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (inspektion); Schlagwort-Treffer: hygieneinspektionvdi6022; Querformat für Hero-Rolle; Ausreichende Breite (1643px); KI-generierter Dateiname – manuell prüfen","assets/images/Leistungen/inspektionundgutachten/ChatGPT Image 3. Mai 2026, 23_35_18.png",48,"Ordner-Segment ""inspektionundgutachten"" passt zu Seitenthema (inspektion); Schlagwort-Treffer: inspektionundgutachten; Querformat für Hero-Rolle; Ausreichende Breite (1528px); KI-generierter Dateiname – manuell prüfen","assets/images/Leistungen/Reinigung-desinfektion/ChatGPT Image 3. Mai 2026, 22_55_33.png",48,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: reinigung; Querformat für Hero-Rolle; Ausreichende Breite (1446px); KI-generierter Dateiname – manuell prüfen",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Nachhaltigkeit,https://igienair.de/unternehmen/nachhaltigkeit/,1,Nachhaltigkeit,Unternehmen,Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,1,Hero,"assets/images/Leistungen/Hygieneinspektionvdi6022/ChatGPT Image 3. Mai 2026, 23_45_32.png",48,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (inspektion); Schlagwort-Treffer: hygieneinspektionvdi6022; Querformat für Hero-Rolle; Ausreichende Breite (1643px); KI-generierter Dateiname – manuell prüfen","assets/images/Leistungen/inspektionundgutachten/ChatGPT Image 3. Mai 2026, 23_35_18.png",48,"Ordner-Segment ""inspektionundgutachten"" passt zu Seitenthema (inspektion); Schlagwort-Treffer: inspektionundgutachten; Querformat für Hero-Rolle; Ausreichende Breite (1528px); KI-generierter Dateiname – manuell prüfen","assets/images/Leistungen/Reinigung-desinfektion/ChatGPT Image 3. Mai 2026, 22_55_33.png",48,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: reinigung; Querformat für Hero-Rolle; Ausreichende Breite (1446px); KI-generierter Dateiname – manuell prüfen",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Umweltschutz,https://igienair.de/unternehmen/umweltschutz/,1,Umweltschutz,Unternehmen,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 18_47_49.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1535px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Leistungen,https://igienair.de/leistungen/,5,Unsere Leistungen,Leistung,Luftkanäle; Kanalreinigung; Techniker an Kanal; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 18_47_49.png",68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal); Schlagwort-Treffer: luftkanalreinigung; Anlagen-Bildpool für Leistungsseite; Querformat für Hero-Rolle; Ausreichende Breite (1535px); KI-generierter Dateiname – manuell prüfen","assets/images/Leistungen/Reinigung-desinfektion/ChatGPT Image 3. Mai 2026, 22_55_33.png",56,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: leistungen, reinigung; Querformat für Hero-Rolle; Ausreichende Breite (1446px); KI-generierter Dateiname – manuell prüfen","assets/images/Leistungen/Hygieneinspektionvdi6022/ChatGPT Image 3. Mai 2026, 23_45_32.png",48,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (norm); Schlagwort-Treffer: leistungen; Querformat für Hero-Rolle; Ausreichende Breite (1643px); KI-generierter Dateiname – manuell prüfen",needs_review,Score unter 75 – redaktionell prüfen.
Leistungen,https://igienair.de/leistungen/,5,Unsere Leistungen,Leistung,Luftkanäle; Kanalreinigung; Techniker an Kanal; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1037608377.jpeg,66,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal); Schlagwort-Treffer: luftkanalreinigung; Anlagen-Bildpool für Leistungsseite; Rasterbild für Content",assets/images/Leistungen/Reinigung-desinfektion/20230913_115000.jpg,54,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: leistungen, reinigung; Rasterbild für Content",assets/images/Leistungen/Hygieneinspektionvdi6022/AdobeStock_1846914301.jpeg,46,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (norm); Schlagwort-Treffer: leistungen; Rasterbild für Content",needs_review,Score unter 75 – redaktionell prüfen.
